index,Unnamed: 0,State,Month,Year,countyBirths,stateBirths,County
251963,251964,42,1,2006,412.0,12013,42011.0
251964,251965,42,1,2006,118.0,12013,42013.0
251965,251966,42,1,2006,541.0,12013,42017.0
251966,251967,42,1,2006,159.0,12013,42019.0
251967,251968,42,1,2006,109.0,12013,42021.0
251968,251969,42,1,2006,105.0,12013,42027.0
251969,251970,42,1,2006,484.0,12013,42029.0
251970,251971,42,1,2006,179.0,12013,42041.0
251971,251972,42,1,2006,285.0,12013,42043.0
251972,251973,42,1,2006,606.0,12013,42045.0
251973,251974,42,1,2006,292.0,12013,42049.0
251974,251975,42,1,2006,115.0,12013,42051.0
251975,251976,42,1,2006,175.0,12013,42055.0
251976,251977,42,1,2006,163.0,12013,42069.0
251977,251978,42,1,2006,541.0,12013,42071.0
251978,251979,42,1,2006,125.0,12013,42075.0
251979,251980,42,1,2006,309.0,12013,42077.0
251980,251981,42,1,2006,254.0,12013,42079.0
251981,251982,42,1,2006,101.0,12013,42081.0
251982,251983,42,1,2006,100.0,12013,42085.0
251983,251984,42,1,2006,140.0,12013,42089.0
251984,251985,42,1,2006,807.0,12013,42091.0
251985,251986,42,1,2006,255.0,12013,42095.0
251986,251987,42,1,2006,1923.0,12013,42101.0
251987,251988,42,1,2006,132.0,12013,42107.0
251988,251989,42,1,2006,167.0,12013,42125.0
251989,251990,42,1,2006,261.0,12013,42129.0
251990,251991,42,1,2006,401.0,12013,42133.0
251991,251992,42,1,2006,1535.0,12013,42999.0
251992,251993,44,1,2006,133.0,950,44003.0
251993,251994,44,1,2006,621.0,950,44007.0
251994,251995,44,1,2006,89.0,950,44009.0
251995,251996,44,1,2006,107.0,950,44999.0
251996,251997,45,1,2006,169.0,5004,45003.0
251997,251998,45,1,2006,227.0,5004,45007.0
251998,251999,45,1,2006,183.0,5004,45013.0
251999,252000,45,1,2006,210.0,5004,45015.0
252000,252001,45,1,2006,409.0,5004,45019.0
252001,252002,45,1,2006,163.0,5004,45041.0
252002,252003,45,1,2006,498.0,5004,45045.0
252003,252004,45,1,2006,236.0,5004,45051.0
252004,252005,45,1,2006,268.0,5004,45063.0
252005,252006,45,1,2006,107.0,5004,45077.0
252006,252007,45,1,2006,402.0,5004,45079.0
252007,252008,45,1,2006,311.0,5004,45083.0
252008,252009,45,1,2006,149.0,5004,45085.0
252009,252010,45,1,2006,231.0,5004,45091.0
252010,252011,45,1,2006,1441.0,5004,45999.0
252011,252012,46,1,2006,204.0,903,46099.0
252012,252013,46,1,2006,699.0,903,46999.0
252013,252014,47,1,2006,100.0,6720,47009.0
252014,252015,47,1,2006,806.0,6720,47037.0
252015,252016,47,1,2006,302.0,6720,47065.0
252016,252017,47,1,2006,413.0,6720,47093.0
252017,252018,47,1,2006,215.0,6720,47125.0
252018,252019,47,1,2006,282.0,6720,47149.0
252019,252020,47,1,2006,1298.0,6720,47157.0
252020,252021,47,1,2006,130.0,6720,47163.0
252021,252022,47,1,2006,146.0,6720,47165.0
252022,252023,47,1,2006,110.0,6720,47179.0
252023,252024,47,1,2006,164.0,6720,47187.0
252024,252025,47,1,2006,2754.0,6720,47999.0
252025,252026,48,1,2006,523.0,32959,48027.0
252026,252027,48,1,2006,2277.0,32959,48029.0
252027,252028,48,1,2006,400.0,32959,48039.0
252028,252029,48,1,2006,202.0,32959,48041.0
252029,252030,48,1,2006,760.0,32959,48061.0
252030,252031,48,1,2006,898.0,32959,48085.0
252031,252032,48,1,2006,3621.0,32959,48113.0
252032,252033,48,1,2006,763.0,32959,48121.0
252033,252034,48,1,2006,206.0,32959,48135.0
252034,252035,48,1,2006,192.0,32959,48139.0
252035,252036,48,1,2006,1119.0,32959,48141.0
252036,252037,48,1,2006,552.0,32959,48157.0
252037,252038,48,1,2006,352.0,32959,48167.0
252038,252039,48,1,2006,147.0,32959,48181.0
252039,252040,48,1,2006,182.0,32959,48183.0
252040,252041,48,1,2006,5956.0,32959,48201.0
252041,252042,48,1,2006,1413.0,32959,48215.0
252042,252043,48,1,2006,308.0,32959,48245.0
252043,252044,48,1,2006,179.0,32959,48251.0
252044,252045,48,1,2006,287.0,32959,48303.0
252045,252046,48,1,2006,305.0,32959,48309.0
252046,252047,48,1,2006,174.0,32959,48329.0
252047,252048,48,1,2006,470.0,32959,48339.0
252048,252049,48,1,2006,407.0,32959,48355.0
252049,252050,48,1,2006,177.0,32959,48375.0
252050,252051,48,1,2006,111.0,32959,48381.0
252051,252052,48,1,2006,239.0,32959,48423.0
252052,252053,48,1,2006,2360.0,32959,48439.0
252053,252054,48,1,2006,183.0,32959,48441.0
252054,252055,48,1,2006,127.0,32959,48451.0
252055,252056,48,1,2006,1278.0,32959,48453.0
252056,252057,48,1,2006,473.0,32959,48479.0
252057,252058,48,1,2006,168.0,32959,48485.0
252058,252059,48,1,2006,441.0,32959,48491.0
252059,252060,48,1,2006,5709.0,32959,48999.0
252060,252061,49,1,2006,452.0,4094,49011.0
252061,252062,49,1,2006,1469.0,4094,49035.0
252062,252063,49,1,2006,894.0,4094,49049.0
252063,252064,49,1,2006,293.0,4094,49057.0
252064,252065,49,1,2006,986.0,4094,49999.0
252065,252066,50,1,2006,114.0,467,50007.0
252066,252067,50,1,2006,353.0,467,50999.0
252067,252068,51,1,2006,235.0,8636,51013.0
252068,252069,51,1,2006,305.0,8636,51041.0
252069,252070,51,1,2006,1127.0,8636,51059.0
252070,252071,51,1,2006,297.0,8636,51087.0
252071,252072,51,1,2006,425.0,8636,51107.0
252072,252073,51,1,2006,563.0,8636,51153.0
252073,252074,51,1,2006,252.0,8636,51510.0
252074,252075,51,1,2006,228.0,8636,51550.0
252075,252076,51,1,2006,169.0,8636,51650.0
252076,252077,51,1,2006,271.0,8636,51700.0
252077,252078,51,1,2006,352.0,8636,51710.0
252078,252079,51,1,2006,154.0,8636,51740.0
252079,252080,51,1,2006,276.0,8636,51760.0
252080,252081,51,1,2006,519.0,8636,51810.0
252081,252082,51,1,2006,3463.0,8636,51999.0
252082,252083,53,1,2006,170.0,6673,53005.0
252083,252084,53,1,2006,443.0,6673,53011.0
252084,252085,53,1,2006,1880.0,6673,53033.0
252085,252086,53,1,2006,233.0,6673,53035.0
252086,252087,53,1,2006,839.0,6673,53053.0
252087,252088,53,1,2006,125.0,6673,53057.0
252088,252089,53,1,2006,697.0,6673,53061.0
252089,252090,53,1,2006,457.0,6673,53063.0
252090,252091,53,1,2006,202.0,6673,53067.0
